,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards,WebURL
193,"Clifton - Block 5, Clifton",43000000.0,3.0,3.0,176,https://www.zameen.com/Homes/Karachi-2-8.html
194,"Clifton - Block 4, Clifton",522500000.0,11.0,6.0,1,https://www.zameen.com/Homes/Karachi-2-8.html
195,"Falcon Complex New Malir, Malir",74000000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-8.html
196,"Falcon Complex New Malir, Malir",75000000.0,4.0,4.0,350,https://www.zameen.com/Homes/Karachi-2-8.html
197,"Falcon Complex New Malir, Malir",79000000.0,5.0,5.0,500,https://www.zameen.com/Homes/Karachi-2-8.html
198,"Falcon Complex New Malir, Malir",69000000.0,4.0,5.0,350,https://www.zameen.com/Homes/Karachi-2-8.html
199,"Falcon Complex New Malir, Malir",71000000.0,4.0,5.0,350,https://www.zameen.com/Homes/Karachi-2-8.html
200,"Bahria Apartments, Bahria Town Karachi",8500000.0,2.0,2.0,106,https://www.zameen.com/Homes/Karachi-2-9.html
201,"Bahria Town - Ali Block, Bahria Town - Precinct 12",10200000.0,2.0,2.0,103,https://www.zameen.com/Homes/Karachi-2-9.html
202,"Bahria Town - Precinct 10, Bahria Town Karachi",14000000.0,3.0,3.0,144,https://www.zameen.com/Homes/Karachi-2-9.html
203,"Bahria Hills, Bahria Town Karachi",10200000.0,2.0,2.0,103,https://www.zameen.com/Homes/Karachi-2-9.html
204,"Bahria Town - Precinct 11, Bahria Town Karachi",6200000.0,1.0,1.0,63,https://www.zameen.com/Homes/Karachi-2-9.html
205,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",16500000.0,4.0,4.0,100,https://www.zameen.com/Homes/Karachi-2-9.html
206,"Navy Housing Scheme Karsaz, Karachi",78500000.0,4.0,4.0,467,https://www.zameen.com/Homes/Karachi-2-9.html
207,"Civil Lines, Karachi",50000000.0,2.0,3.0,158,https://www.zameen.com/Homes/Karachi-2-9.html
208,"DHA Phase 7, DHA Defence",115000000.0,6.0,8.0,500,https://www.zameen.com/Homes/Karachi-2-9.html
209,"Bahria Town - Precinct 31, Bahria Town Karachi",15500000.0,3.0,3.0,235,https://www.zameen.com/Homes/Karachi-2-9.html
210,"Askari 5 - Sector J, Askari 5",64000000.0,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-9.html
211,"Askari 5 - Sector J, Askari 5",64400000.00000001,5.0,5.0,375,https://www.zameen.com/Homes/Karachi-2-9.html
212,"North Nazimabad - Block F, North Nazimabad",91500000.0,5.0,6.0,500,https://www.zameen.com/Homes/Karachi-2-9.html
213,"North Nazimabad - Block L, North Nazimabad",92500000.0,6.0,6.0,400,https://www.zameen.com/Homes/Karachi-2-9.html
214,"North Nazimabad - Block B, North Nazimabad",13500000.0,2.0,2.0,122,https://www.zameen.com/Homes/Karachi-2-9.html
