,Address,Price,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16666,"Bahria Sports City, Bahria Town Karachi",26500000.0,4.0,4.0,350
16667,"Askari 5 - Sector J, Askari 5",67000000.0,5.0,5.0,375
16668,"Askari 5 - Sector J, Askari 5",70500000.0,5.0,5.0,375
16669,"Askari 5 - Sector J, Askari 5",69500000.0,5.0,5.0,375
16670,"North Nazimabad - Block L, North Nazimabad",46500000.0,6.0,6.0,256
16671,"North Nazimabad - Block J, North Nazimabad",49000000.0,6.0,6.0,300
16672,"North Nazimabad - Block L, North Nazimabad",95000000.0,7.0,6.0,450
16673,"North Nazimabad - Block D, North Nazimabad",60000000.0,5.0,6.0,300
16674,"Bahria Town - Precinct 10-A, Bahria Town Karachi",22500000.0,3.0,3.0,200
16675,"DHA Phase 5, DHA Defence",125000000.0,5.0,6.0,500
16676,"Bahria Town Karachi, Karachi",32200000.000000004,3.0,4.0,298
16677,"Bahadurabad, Gulshan-e-Iqbal Town",45000000.0,3.0,3.0,211
16678,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",25000000.0,3.0,3.0,194
16679,"Clifton - Block 8, Clifton",42500000.0,3.0,3.0,228
16680,other,21500000.0,4.0,4.0,120
16681,other,15000000.0,7.0,4.0,240
16682,"DHA Phase 6, DHA Defence",90000000.0,6.0,6.0,666
16683,"DHA Phase 5, DHA Defence",87000000.0,5.0,5.0,500
16684,"DHA Phase 6, DHA Defence",65000000.0,6.0,6.0,300
16685,"DHA Phase 6, DHA Defence",78000000.0,3.0,3.0,500
16686,"DHA Phase 8, DHA Defence",100000000.0,6.0,7.0,500
16687,"DHA Phase 8, DHA Defence",56500000.0,4.0,4.0,250
16688,"DHA Phase 6, DHA Defence",55000000.0,4.0,4.0,250
16689,"DHA Phase 6, DHA Defence",85000000.0,6.0,6.0,500
16690,"DHA Phase 6, DHA Defence",65000000.0,4.0,4.0,300
16691,"DHA Phase 4, DHA Defence",58000000.0,4.0,4.0,300
16692,"DHA Phase 4, DHA Defence",63000000.0,4.0,4.0,360
16693,"DHA Phase 4, DHA Defence",58000000.0,4.0,4.0,300
16694,"DHA Phase 7, DHA Defence",92500000.0,6.0,6.0,500
16696,"DHA Phase 6, DHA Defence",65000000.0,4.0,5.0,300
16697,"DHA Phase 6, DHA Defence",55000000.0,4.0,5.0,250
16698,"DHA Phase 6, DHA Defence",60500000.0,6.0,6.0,300
16699,"DHA Phase 6, DHA Defence",55000000.0,4.0,4.0,250
16700,"Civil Lines, Karachi",36000000.0,3.0,3.0,183
16701,"Civil Lines, Karachi",76500000.0,4.0,4.0,289
